#E_pot  E_kin  T  P
-5.054665e-04 7.750209e+02 3.107119e+02 8.579683e+02
-4.943895e-04 7.741441e+02 3.103604e+02 8.569977e+02
-4.799844e-04 7.508840e+02 3.010353e+02 8.312482e+02
-4.863244e-04 7.744253e+02 3.104732e+02 8.573090e+02
-4.986005e-04 7.927121e+02 3.178045e+02 8.775529e+02
-5.048426e-04 7.905254e+02 3.169279e+02 8.751323e+02
-5.152818e-04 7.859571e+02 3.150964e+02 8.700749e+02
-5.579920e-04 7.629826e+02 3.058857e+02 8.446417e+02
-6.254433e-04 7.047468e+02 2.825385e+02 7.801731e+02
-6.613391e-04 7.132695e+02 2.859554e+02 7.896080e+02
-6.636943e-04 7.024245e+02 2.816075e+02 7.776022e+02
-6.268986e-04 7.261338e+02 2.911128e+02 8.038491e+02
-5.585335e-04 7.207701e+02 2.889624e+02 7.979112e+02
-4.767668e-04 7.396684e+02 2.965389e+02 8.188321e+02
-4.053248e-04 7.627825e+02 3.058055e+02 8.444201e+02
-3.535213e-04 7.720054e+02 3.095030e+02 8.546301e+02
-3.133195e-04 7.809192e+02 3.130766e+02 8.644979e+02
-2.845035e-04 7.801070e+02 3.127510e+02 8.635988e+02
-2.633310e-04 8.008424e+02 3.210640e+02 8.865534e+02
-2.461962e-04 7.671404e+02 3.075526e+02 8.492444e+02
-2.301632e-04 8.001495e+02 3.207862e+02 8.857863e+02
-2.086208e-04 7.874513e+02 3.156954e+02 8.717291e+02
-1.873416e-04 7.691789e+02 3.083699e+02 8.515011e+02
-1.718126e-04 8.195867e+02 3.285787e+02 9.073038e+02
-1.545724e-04 7.890084e+02 3.163197e+02 8.734529e+02
-1.377144e-04 7.856148e+02 3.149591e+02 8.696961e+02
-1.276072e-04 7.787527e+02 3.122081e+02 8.620995e+02
-1.203522e-04 7.881457e+02 3.159738e+02 8.724979e+02
-1.101998e-04 7.167522e+02 2.873516e+02 7.934634e+02
-9.973296e-05 7.545974e+02 3.025240e+02 8.353590e+02
-9.220465e-05 7.741905e+02 3.103791e+02 8.570491e+02
-8.633427e-05 7.090219e+02 2.842524e+02 7.849057e+02
-8.160400e-05 7.298000e+02 2.925826e+02 8.079077e+02
-7.814735e-05 7.036405e+02 2.820950e+02 7.789484e+02
-7.602901e-05 7.176623e+02 2.877164e+02 7.944708e+02
-7.472676e-05 7.028720e+02 2.817869e+02 7.780977e+02
-7.305322e-05 7.240712e+02 2.902858e+02 8.015657e+02
-7.082983e-05 7.152168e+02 2.867360e+02 7.917636e+02
-6.692484e-05 7.232733e+02 2.899659e+02 8.006824e+02
-6.263576e-05 7.731443e+02 3.099596e+02 8.558909e+02
-5.875348e-05 7.948677e+02 3.186687e+02 8.799393e+02
-5.432982e-05 7.898158e+02 3.166433e+02 8.743466e+02
-4.925040e-05 8.141366e+02 3.263938e+02 9.012705e+02
-4.523111e-05 8.490164e+02 3.403773e+02 9.398833e+02
-4.291764e-05 8.555888e+02 3.430123e+02 9.471591e+02
-4.129742e-05 8.574041e+02 3.437400e+02 9.491687e+02
-4.037379e-05 8.238546e+02 3.302898e+02 9.120285e+02
-4.032586e-05 8.534492e+02 3.421545e+02 9.447905e+02
