#E_pot  E_kin  T  P
-1.333205e-05 2.644648e+02 1.060260e+02 2.927694e+02
-1.338155e-05 2.597976e+02 1.041549e+02 2.876027e+02
-1.355217e-05 2.606978e+02 1.045158e+02 2.885993e+02
-1.387252e-05 2.718215e+02 1.089754e+02 3.009135e+02
-1.429798e-05 2.715359e+02 1.088609e+02 3.005974e+02
-1.476663e-05 2.589407e+02 1.038113e+02 2.866541e+02
-1.525417e-05 2.536411e+02 1.016867e+02 2.807873e+02
-1.558590e-05 2.401042e+02 9.625965e+01 2.658016e+02
-1.591048e-05 2.640227e+02 1.058488e+02 2.922800e+02
-1.626517e-05 2.635490e+02 1.056589e+02 2.917556e+02
-1.660322e-05 2.523132e+02 1.011543e+02 2.793173e+02
-1.712373e-05 2.404025e+02 9.637925e+01 2.661318e+02
-1.769639e-05 2.515658e+02 1.008547e+02 2.784899e+02
-1.839722e-05 2.434756e+02 9.761128e+01 2.695338e+02
-1.923823e-05 2.494304e+02 9.999859e+01 2.761259e+02
-2.024346e-05 2.461949e+02 9.870145e+01 2.725441e+02
-2.149472e-05 2.435745e+02 9.765092e+01 2.696433e+02
-2.267797e-05 2.447632e+02 9.812748e+01 2.709592e+02
-2.345722e-05 2.451843e+02 9.829631e+01 2.714254e+02
-2.402337e-05 2.418168e+02 9.694627e+01 2.676975e+02
-2.457969e-05 2.378040e+02 9.533748e+01 2.632552e+02
-2.479026e-05 2.527071e+02 1.013122e+02 2.797533e+02
-2.451139e-05 2.555277e+02 1.024430e+02 2.828758e+02
-2.432947e-05 2.620814e+02 1.050705e+02 2.901309e+02
-2.444766e-05 2.519752e+02 1.010188e+02 2.789431e+02
-2.450517e-05 2.695020e+02 1.080455e+02 2.983458e+02
-2.455496e-05 2.631254e+02 1.054891e+02 2.912867e+02
-2.480154e-05 2.573164e+02 1.031602e+02 2.848560e+02
-2.511440e-05 2.406022e+02 9.645933e+01 2.663530e+02
-2.521887e-05 2.537043e+02 1.017120e+02 2.808573e+02
-2.538323e-05 2.523057e+02 1.011513e+02 2.793090e+02
-2.604023e-05 2.598917e+02 1.041926e+02 2.877069e+02
-2.691270e-05 2.529680e+02 1.014169e+02 2.800422e+02
-2.779614e-05 2.628872e+02 1.053936e+02 2.910230e+02
-2.860171e-05 2.464570e+02 9.880656e+01 2.728343e+02
-2.916143e-05 2.522106e+02 1.011132e+02 2.792037e+02
-2.981336e-05 2.599646e+02 1.042219e+02 2.877876e+02
-3.053982e-05 2.508187e+02 1.005552e+02 2.776628e+02
-3.116261e-05 2.450263e+02 9.823295e+01 2.712505e+02
-3.187896e-05 2.281285e+02 9.145850e+01 2.525442e+02
-3.246200e-05 2.174582e+02 8.718069e+01 2.407319e+02
-3.262201e-05 2.298432e+02 9.214593e+01 2.544424e+02
-3.280264e-05 2.237122e+02 8.968799e+01 2.476553e+02
-3.341470e-05 2.271881e+02 9.108149e+01 2.515031e+02
-3.381053e-05 2.227168e+02 8.928893e+01 2.465533e+02
-3.354133e-05 2.266029e+02 9.084689e+01 2.508553e+02
-3.267057e-05 2.276393e+02 9.126240e+01 2.520027e+02
-3.155581e-05 2.425137e+02 9.722565e+01 2.684690e+02
-3.072048e-05 2.399549e+02 9.619979e+01 2.656363e+02
-3.028287e-05 2.292024e+02 9.188903e+01 2.537330e+02
-3.038082e-05 2.307932e+02 9.252680e+01 2.554941e+02
-3.060986e-05 2.330581e+02 9.343483e+01 2.580014e+02
-3.078946e-05 2.285874e+02 9.164249e+01 2.530522e+02
-3.118589e-05 2.259253e+02 9.057523e+01 2.501052e+02
-3.152002e-05 2.466188e+02 9.887141e+01 2.730134e+02
-3.163885e-05 2.351647e+02 9.427936e+01 2.603334e+02
-3.159401e-05 2.376166e+02 9.526237e+01 2.630478e+02
-3.139843e-05 2.419855e+02 9.701390e+01 2.678843e+02
-3.140631e-05 2.498263e+02 1.001573e+02 2.765642e+02
-3.108007e-05 2.525590e+02 1.012529e+02 2.795894e+02
-2.995774e-05 2.539909e+02 1.018269e+02 2.811745e+02
-2.890832e-05 2.596611e+02 1.041002e+02 2.874517e+02
-2.808586e-05 2.672670e+02 1.071495e+02 2.958716e+02
-2.707068e-05 2.743471e+02 1.099879e+02 3.037094e+02
-2.595378e-05 2.794242e+02 1.120233e+02 3.093298e+02
-2.509581e-05 2.595701e+02 1.040637e+02 2.873509e+02
-2.486334e-05 2.490595e+02 9.984992e+01 2.757154e+02
-2.506320e-05 2.691727e+02 1.079135e+02 2.979812e+02
-2.516538e-05 2.801021e+02 1.122951e+02 3.100804e+02
-2.512073e-05 2.862155e+02 1.147460e+02 3.168480e+02
-2.500322e-05 2.696550e+02 1.081068e+02 2.985151e+02
-2.480822e-05 2.622931e+02 1.051554e+02 2.903653e+02
-2.455324e-05 2.558984e+02 1.025917e+02 2.832862e+02
-2.448901e-05 2.485073e+02 9.962851e+01 2.751040e+02
-2.439597e-05 2.510301e+02 1.006399e+02 2.778968e+02
-2.365768e-05 2.699097e+02 1.082089e+02 2.987971e+02
-2.271990e-05 2.848206e+02 1.141868e+02 3.153038e+02
-2.190208e-05 2.830191e+02 1.134646e+02 3.133095e+02
-2.136545e-05 2.713838e+02 1.087999e+02 3.004289e+02
-2.103064e-05 2.721397e+02 1.091029e+02 3.012657e+02
-2.076999e-05 2.681320e+02 1.074962e+02 2.968291e+02
-2.099925e-05 2.661363e+02 1.066961e+02 2.946198e+02
-2.142744e-05 2.669831e+02 1.070356e+02 2.955573e+02
-2.191191e-05 2.703544e+02 1.083872e+02 2.992894e+02
-2.242757e-05 2.593758e+02 1.039858e+02 2.871358e+02
-2.276138e-05 2.700160e+02 1.082516e+02 2.989148e+02
-2.328648e-05 2.619682e+02 1.050251e+02 2.900056e+02
-2.402422e-05 2.503775e+02 1.003783e+02 2.771744e+02
-2.459188e-05 2.368136e+02 9.494045e+01 2.621589e+02
-2.498505e-05 2.344237e+02 9.398230e+01 2.595131e+02
-2.531981e-05 2.416201e+02 9.686740e+01 2.674797e+02
-2.535032e-05 2.533209e+02 1.015583e+02 2.804329e+02
-2.506811e-05 2.562936e+02 1.027501e+02 2.837237e+02
-2.517535e-05 2.503218e+02 1.003560e+02 2.771127e+02
-2.567814e-05 2.440895e+02 9.785738e+01 2.702134e+02
-2.601203e-05 2.434048e+02 9.758290e+01 2.694555e+02
-2.587526e-05 2.389604e+02 9.580111e+01 2.645354e+02
-2.535739e-05 2.437424e+02 9.771823e+01 2.698292e+02
-2.507293e-05 2.436663e+02 9.768771e+01 2.697449e+02
-2.487305e-05 2.496965e+02 1.001053e+02 2.764205e+02
-2.481630e-05 2.403565e+02 9.636081e+01 2.660809e+02
-2.512812e-05 2.394122e+02 9.598223e+01 2.650355e+02
-2.536794e-05 2.292001e+02 9.188814e+01 2.537305e+02
-2.551276e-05 2.255782e+02 9.043609e+01 2.497210e+02
-2.590623e-05 2.227563e+02 8.930477e+01 2.465971e+02
-2.633611e-05 2.278953e+02 9.136500e+01 2.522860e+02
-2.690215e-05 2.371250e+02 9.506529e+01 2.625036e+02
-2.771718e-05 2.367195e+02 9.490272e+01 2.620547e+02
-2.861763e-05 2.559477e+02 1.026115e+02 2.833408e+02
-2.910694e-05 2.480793e+02 9.945695e+01 2.746303e+02
-2.901432e-05 2.617441e+02 1.049353e+02 2.897576e+02
-2.905258e-05 2.633194e+02 1.055668e+02 2.915014e+02
-2.914329e-05 2.775200e+02 1.112599e+02 3.072218e+02
-2.893640e-05 2.638040e+02 1.057611e+02 2.920379e+02
-2.815574e-05 2.662315e+02 1.067343e+02 2.947252e+02
-2.685086e-05 2.601958e+02 1.043145e+02 2.880435e+02
-2.543252e-05 2.547695e+02 1.021391e+02 2.820364e+02
-2.426923e-05 2.656182e+02 1.064884e+02 2.940462e+02
-2.360495e-05 2.560167e+02 1.026391e+02 2.834172e+02
-2.352126e-05 2.592782e+02 1.039466e+02 2.870277e+02
-2.352709e-05 2.564592e+02 1.028165e+02 2.839070e+02
-2.337892e-05 2.561077e+02 1.026756e+02 2.835178e+02
-2.343373e-05 2.454673e+02 9.840977e+01 2.717387e+02
-2.353374e-05 2.431911e+02 9.749722e+01 2.692189e+02
-2.355375e-05 2.432490e+02 9.752045e+01 2.692830e+02
-2.339019e-05 2.371458e+02 9.507359e+01 2.625265e+02
-2.302193e-05 2.412639e+02 9.672458e+01 2.670854e+02
-2.257299e-05 2.489020e+02 9.978677e+01 2.755410e+02
-2.204988e-05 2.626228e+02 1.052875e+02 2.907303e+02
-2.203740e-05 2.623595e+02 1.051820e+02 2.904388e+02
-2.253688e-05 2.616500e+02 1.048975e+02 2.896534e+02
-2.307274e-05 2.706471e+02 1.085045e+02 2.996133e+02
-2.328197e-05 2.561818e+02 1.027053e+02 2.835999e+02
-2.335234e-05 2.553939e+02 1.023894e+02 2.827277e+02
-2.363972e-05 2.489432e+02 9.980327e+01 2.755866e+02
-2.399085e-05 2.458034e+02 9.854452e+01 2.721108e+02
-2.437178e-05 2.611383e+02 1.046924e+02 2.890869e+02
-2.462338e-05 2.504037e+02 1.003888e+02 2.772034e+02
-2.474026e-05 2.607255e+02 1.045269e+02 2.886300e+02
-2.476978e-05 2.517660e+02 1.009350e+02 2.787115e+02
-2.467767e-05 2.351744e+02 9.428327e+01 2.603442e+02
-2.465522e-05 2.390948e+02 9.585499e+01 2.646842e+02
-2.508896e-05 2.400925e+02 9.625498e+01 2.657887e+02
-2.578186e-05 2.381579e+02 9.547936e+01 2.636470e+02
-2.611581e-05 2.509172e+02 1.005947e+02 2.777718e+02
-2.676333e-05 2.566045e+02 1.028748e+02 2.840679e+02
-2.811196e-05 2.446839e+02 9.809569e+01 2.708714e+02
-2.941241e-05 2.536027e+02 1.016713e+02 2.807448e+02
-3.043528e-05 2.442044e+02 9.790344e+01 2.703406e+02
-3.119954e-05 2.383229e+02 9.554551e+01 2.638296e+02
-3.194678e-05 2.387046e+02 9.569857e+01 2.642523e+02
-3.284666e-05 2.514563e+02 1.008108e+02 2.783686e+02
-3.387705e-05 2.649276e+02 1.062115e+02 2.932817e+02
-3.487718e-05 2.643843e+02 1.059937e+02 2.926803e+02
-3.563121e-05 2.542345e+02 1.019246e+02 2.814442e+02
-3.641866e-05 2.482688e+02 9.953292e+01 2.748401e+02
-3.755827e-05 2.553398e+02 1.023677e+02 2.826678e+02
-3.924076e-05 2.585981e+02 1.036740e+02 2.862749e+02
-4.081545e-05 2.697914e+02 1.081615e+02 2.986661e+02
-4.146905e-05 2.588318e+02 1.037677e+02 2.865335e+02
-4.154536e-05 2.423998e+02 9.717998e+01 2.683429e+02
-4.147611e-05 2.500035e+02 1.002284e+02 2.767604e+02
-4.138310e-05 2.477823e+02 9.933787e+01 2.743015e+02
-4.142243e-05 2.442544e+02 9.792351e+01 2.703960e+02
-4.201164e-05 2.443535e+02 9.796323e+01 2.705057e+02
-4.328440e-05 2.490313e+02 9.983861e+01 2.756841e+02
-4.388699e-05 2.599999e+02 1.042360e+02 2.878267e+02
-4.295121e-05 2.618460e+02 1.049761e+02 2.898703e+02
-4.140402e-05 2.722981e+02 1.091664e+02 3.014411e+02
-3.966867e-05 2.552614e+02 1.023363e+02 2.825810e+02
-3.753240e-05 2.615410e+02 1.048538e+02 2.895327e+02
-3.545851e-05 2.785399e+02 1.116688e+02 3.083509e+02
-3.443843e-05 2.661726e+02 1.067107e+02 2.946600e+02
-3.396931e-05 2.787760e+02 1.117635e+02 3.086123e+02
-3.335119e-05 2.699842e+02 1.082388e+02 2.988796e+02
-3.251882e-05 2.704489e+02 1.084251e+02 2.993940e+02
-3.166549e-05 2.725336e+02 1.092609e+02 3.017018e+02
-3.093393e-05 2.780349e+02 1.114664e+02 3.077919e+02
-2.985579e-05 2.784751e+02 1.116429e+02 3.082792e+02
-2.826645e-05 2.841427e+02 1.139150e+02 3.145534e+02
-2.671791e-05 2.804127e+02 1.124197e+02 3.104242e+02
-2.558743e-05 2.818771e+02 1.130067e+02 3.120453e+02
-2.444227e-05 2.605039e+02 1.044380e+02 2.883846e+02
-2.337203e-05 2.505766e+02 1.004581e+02 2.773948e+02
-2.252359e-05 2.474697e+02 9.921253e+01 2.739554e+02
-2.177246e-05 2.507384e+02 1.005230e+02 2.775739e+02
-2.101917e-05 2.619527e+02 1.050189e+02 2.899885e+02
-2.014233e-05 2.474474e+02 9.920362e+01 2.739307e+02
-1.922259e-05 2.488010e+02 9.974626e+01 2.754291e+02
-1.841928e-05 2.436997e+02 9.770111e+01 2.697819e+02
-1.776088e-05 2.341456e+02 9.387079e+01 2.592052e+02
-1.732032e-05 2.355738e+02 9.444339e+01 2.607864e+02
-1.706692e-05 2.280407e+02 9.142330e+01 2.524470e+02
-1.692121e-05 2.350981e+02 9.425268e+01 2.602597e+02
-1.672488e-05 2.370949e+02 9.505321e+01 2.624703e+02
-1.644249e-05 2.322743e+02 9.312060e+01 2.571337e+02
-1.620300e-05 2.326452e+02 9.326929e+01 2.575443e+02
-1.601226e-05 2.389960e+02 9.581536e+01 2.645748e+02
-1.587595e-05 2.514121e+02 1.007931e+02 2.783198e+02
-1.566082e-05 2.517452e+02 1.009266e+02 2.786885e+02
-1.530157e-05 2.452774e+02 9.833365e+01 2.715285e+02
-1.490438e-05 2.366162e+02 9.486128e+01 2.619403e+02
-1.456771e-05 2.480931e+02 9.946246e+01 2.746455e+02
-1.430387e-05 2.463779e+02 9.877484e+01 2.727468e+02
-1.401711e-05 2.529222e+02 1.013985e+02 2.799915e+02
-1.377623e-05 2.594076e+02 1.039985e+02 2.871709e+02
-1.364278e-05 2.573660e+02 1.031801e+02 2.849109e+02
-1.351120e-05 2.622244e+02 1.051278e+02 2.902893e+02
-1.336758e-05 2.634049e+02 1.056011e+02 2.915961e+02
-1.322621e-05 2.488778e+02 9.977706e+01 2.755142e+02
-1.301185e-05 2.446315e+02 9.807467e+01 2.708134e+02
-1.277717e-05 2.478837e+02 9.937850e+01 2.744137e+02
-1.260736e-05 2.469321e+02 9.899701e+01 2.733603e+02
-1.245636e-05 2.489965e+02 9.982466e+01 2.756456e+02
-1.232448e-05 2.473846e+02 9.917842e+01 2.738612e+02
-1.216116e-05 2.606193e+02 1.044843e+02 2.885123e+02
-1.200152e-05 2.587359e+02 1.037292e+02 2.864273e+02
-1.183946e-05 2.542197e+02 1.019187e+02 2.814278e+02
-1.159196e-05 2.596500e+02 1.040957e+02 2.874393e+02
-1.140225e-05 2.515181e+02 1.008356e+02 2.784370e+02
-1.126883e-05 2.574883e+02 1.032291e+02 2.850462e+02
-1.119381e-05 2.574338e+02 1.032072e+02 2.849859e+02
-1.121238e-05 2.449760e+02 9.821279e+01 2.711948e+02
-1.125254e-05 2.476320e+02 9.927762e+01 2.741351e+02
-1.140228e-05 2.369453e+02 9.499324e+01 2.623046e+02
-1.167323e-05 2.407581e+02 9.652182e+01 2.665255e+02
-1.203815e-05 2.504614e+02 1.004120e+02 2.772673e+02
-1.245295e-05 2.368160e+02 9.494138e+01 2.621614e+02
-1.283421e-05 2.383090e+02 9.553997e+01 2.638143e+02
-1.325855e-05 2.349843e+02 9.420703e+01 2.601337e+02
-1.372110e-05 2.289317e+02 9.178050e+01 2.534333e+02
-1.421218e-05 2.442189e+02 9.790926e+01 2.703567e+02
-1.472766e-05 2.534413e+02 1.016066e+02 2.805661e+02
-1.513783e-05 2.385862e+02 9.565108e+01 2.641211e+02
-1.544093e-05 2.453005e+02 9.834288e+01 2.715540e+02
-1.565813e-05 2.439386e+02 9.779690e+01 2.700464e+02
-1.579135e-05 2.435763e+02 9.765166e+01 2.696453e+02
