#E_pot  E_kin  T  P
-1.972260e-04 7.930627e+02 3.179451e+02 8.779411e+02
-1.989106e-04 7.440906e+02 2.983118e+02 8.237276e+02
-1.995487e-04 7.312605e+02 2.931681e+02 8.095244e+02
-1.995144e-04 7.383809e+02 2.960227e+02 8.174069e+02
-2.017888e-04 6.619004e+02 2.653611e+02 7.327410e+02
-2.059513e-04 7.010527e+02 2.810575e+02 7.760836e+02
-2.091010e-04 6.836259e+02 2.740710e+02 7.567917e+02
-2.108317e-04 7.363511e+02 2.952090e+02 8.151599e+02
-2.158595e-04 7.600969e+02 3.047288e+02 8.414471e+02
-2.263154e-04 7.627672e+02 3.057994e+02 8.444032e+02
-2.404410e-04 7.684321e+02 3.080705e+02 8.506744e+02
-2.575857e-04 7.963481e+02 3.192622e+02 8.815781e+02
-2.881346e-04 7.934629e+02 3.181055e+02 8.783841e+02
-3.409566e-04 7.891525e+02 3.163774e+02 8.736124e+02
-4.120509e-04 7.647428e+02 3.065914e+02 8.465902e+02
-4.893835e-04 8.008945e+02 3.210849e+02 8.866110e+02
-5.776355e-04 8.091844e+02 3.244084e+02 8.957883e+02
-6.757090e-04 8.144211e+02 3.265078e+02 9.015853e+02
-7.710357e-04 7.810570e+02 3.131319e+02 8.646505e+02
-8.230545e-04 7.752798e+02 3.108158e+02 8.582549e+02
-8.474407e-04 7.350235e+02 2.946767e+02 8.136901e+02
-8.836163e-04 7.484369e+02 3.000542e+02 8.285391e+02
-8.915942e-04 7.732197e+02 3.099898e+02 8.559743e+02
-8.305719e-04 7.580532e+02 3.039095e+02 8.391846e+02
-7.446681e-04 7.424400e+02 2.976500e+02 8.219004e+02
-6.459384e-04 7.681899e+02 3.079734e+02 8.504062e+02
-5.115827e-04 7.230651e+02 2.898825e+02 8.004518e+02
-3.900621e-04 7.926180e+02 3.177668e+02 8.774488e+02
-2.976237e-04 7.605900e+02 3.049265e+02 8.419930e+02
-2.321566e-04 7.393680e+02 2.964184e+02 8.184996e+02
-1.938188e-04 8.003242e+02 3.208563e+02 8.859798e+02
-1.717320e-04 8.047252e+02 3.226206e+02 8.908518e+02
-1.544651e-04 8.028889e+02 3.218844e+02 8.888189e+02
-1.413239e-04 7.731524e+02 3.099629e+02 8.558999e+02
-1.316589e-04 7.459128e+02 2.990423e+02 8.257449e+02
-1.218518e-04 7.274419e+02 2.916372e+02 8.052972e+02
-1.140772e-04 7.597312e+02 3.045822e+02 8.410422e+02
-1.093652e-04 7.418271e+02 2.974043e+02 8.212220e+02
-1.053872e-04 7.249153e+02 2.906242e+02 8.025001e+02
-1.013363e-04 7.593229e+02 3.044185e+02 8.405902e+02
-9.814511e-05 8.154153e+02 3.269064e+02 9.026860e+02
-9.607023e-05 7.703626e+02 3.088444e+02 8.528114e+02
-9.552134e-05 8.055052e+02 3.229334e+02 8.917153e+02
-9.589021e-05 8.178844e+02 3.278963e+02 9.054193e+02
-9.621003e-05 8.288535e+02 3.322939e+02 9.175624e+02
-9.748626e-05 7.935294e+02 3.181322e+02 8.784577e+02
-9.935594e-05 7.771070e+02 3.115483e+02 8.602777e+02
-1.011171e-04 7.786289e+02 3.121584e+02 8.619625e+02
-1.036245e-04 8.138795e+02 3.262907e+02 9.009858e+02
-1.071035e-04 8.251279e+02 3.308003e+02 9.134381e+02
-1.129462e-04 8.361640e+02 3.352247e+02 9.256554e+02
-1.223530e-04 7.986930e+02 3.202023e+02 8.841740e+02
-1.338268e-04 7.778517e+02 3.118469e+02 8.611021e+02
-1.425533e-04 7.391328e+02 2.963241e+02 8.182393e+02
-1.479776e-04 6.930214e+02 2.778377e+02 7.671927e+02
-1.540190e-04 7.277325e+02 2.917537e+02 8.056188e+02
-1.600626e-04 7.651699e+02 3.067626e+02 8.470630e+02
-1.654674e-04 7.854652e+02 3.148992e+02 8.695305e+02
-1.705275e-04 8.149822e+02 3.267327e+02 9.022065e+02
-1.736925e-04 7.844797e+02 3.145041e+02 8.684395e+02
-1.723711e-04 8.076186e+02 3.237806e+02 8.940548e+02
-1.704480e-04 7.535313e+02 3.020966e+02 8.341788e+02
-1.689872e-04 7.121664e+02 2.855131e+02 7.883867e+02
-1.642133e-04 6.926993e+02 2.777086e+02 7.668361e+02
-1.559964e-04 7.038351e+02 2.821730e+02 7.791638e+02
-1.477546e-04 7.341001e+02 2.943065e+02 8.126679e+02
-1.433317e-04 7.485358e+02 3.000939e+02 8.286486e+02
-1.386134e-04 7.453180e+02 2.988038e+02 8.250864e+02
-1.284329e-04 7.650115e+02 3.066991e+02 8.468877e+02
-1.184336e-04 7.680692e+02 3.079250e+02 8.502726e+02
-1.110086e-04 7.551412e+02 3.027420e+02 8.359610e+02
-1.046924e-04 7.352336e+02 2.947609e+02 8.139227e+02
-9.989015e-05 7.538731e+02 3.022336e+02 8.345572e+02
-9.648107e-05 8.136278e+02 3.261898e+02 9.007071e+02
-9.285979e-05 7.594379e+02 3.044646e+02 8.407175e+02
-8.824066e-05 7.516612e+02 3.013469e+02 8.321085e+02
-8.376653e-05 7.647645e+02 3.066001e+02 8.466143e+02
-8.103499e-05 7.840434e+02 3.143292e+02 8.679565e+02
-8.079601e-05 7.859345e+02 3.150873e+02 8.700499e+02
-8.153544e-05 7.823948e+02 3.136682e+02 8.661314e+02
-8.265313e-05 7.698678e+02 3.086460e+02 8.522637e+02
-8.558967e-05 7.946399e+02 3.185774e+02 8.796871e+02
-9.171030e-05 7.948925e+02 3.186787e+02 8.799667e+02
-1.022600e-04 7.981897e+02 3.200005e+02 8.836168e+02
-1.182165e-04 7.665973e+02 3.073349e+02 8.486432e+02
-1.387893e-04 7.180240e+02 2.878614e+02 7.948712e+02
-1.689950e-04 7.097106e+02 2.845285e+02 7.856681e+02
