target_temperature_K,measured_temperature_K,temperature_std_K,n_particles,frames_used,first_frame_used,n_speed_samples,input_file,md_component_sigma_nm_ps,theory_component_sigma_nm_ps,component_sigma_relative_error_percent,md_mean_speed_nm_ps,theory_mean_speed_nm_ps,mean_speed_relative_error_percent,md_speed_std_nm_ps,theory_speed_std_nm_ps,speed_std_relative_error_percent,md_fitted_mode_speed_nm_ps,theory_mode_speed_nm_ps,mode_relative_error_percent,theory_rms_speed_nm_ps,speed_KS_D,md_mean_speed_over_sqrtT,theory_mean_speed_over_sqrtT,md_speed_std_over_sqrtT,theory_speed_std_over_sqrtT,md_mode_over_sqrtT,theory_mode_over_sqrtT
100.0,100.25016948716264,6.273058701825722,200,701,300,140200,mb_results/mb_T100_N200_langevin_vel.npy,0.14443638637030995,0.1442642428326687,0.11932515934729503,0.23057193295767522,0.23021242406420359,0.1561639841694102,0.09710490913957222,0.09715325566718241,0.049763157475460056,0.20427548782682078,0.20402044877944567,0.1250066103181764,0.24987299830163642,0.0029359539885721597,0.02305719329576752,0.02302124240642036,0.009710490913957221,0.009715325566718242,0.02042754878268208,0.020402044877944565
300.0,300.1842398992588,16.25631744045092,200,701,300,140200,mb_results/mb_T300_N200_langevin_vel.npy,0.24994727592899793,0.24987299830163642,0.029726152031778426,0.39910864149628333,0.39873961501279265,0.09254823689360464,0.16774108557230039,0.16827437493628888,0.3169165621268297,0.3534822756646618,0.3533737830690036,0.03070193683186157,0.43279272849800604,0.003027249258532594,0.0230425481603785,0.023021242406420356,0.009684536090932767,0.009715325566718239,0.020408308700875396,0.020402044877944562
600.0,603.7685244517489,33.87967631218466,200,701,300,140200,mb_results/mb_T600_N200_langevin_vel.npy,0.3544530184193269,0.3533737830690036,0.30540900373262675,0.5650271660144092,0.5639029714065179,0.19935958221451322,0.2402430859914685,0.23797590323475498,0.9526942542905423,0.5013129608183255,0.4997459966032729,0.3135521296224795,0.6120613463383369,0.002684750263704516,0.023067137459102386,0.023021242406420356,0.009807882915177986,0.00971532556671824,0.020466015924145896,0.020402044877944565
