n_particles,input_file,frames_used,first_frame_used,n_pooled_speed_samples,temperature_mean_K,temperature_std_K,temperature_relative_std,temperature_relative_std_theory,temperature_fluctuation_ratio_MD_over_theory,mean_speed_MD_nm_ps,mean_speed_theory_nm_ps,mean_speed_relative_error_percent,speed_std_MD_nm_ps,speed_std_theory_nm_ps,speed_std_relative_error_percent,pooled_speed_KS_D,framewise_speed_KS_mean,framewise_speed_KS_std,framewise_KS_times_sqrtN
20,mb_results_fixed_L100/mb_T300_N20_L100_langevin_vel.npy,701,300,14020,304.40486743995035,56.76052287554627,0.18646391351394329,0.18257418583505536,1.0213049159227914,0.3996266320611307,0.39873961501279265,0.22245521010235914,0.1742426814384358,0.16827437493628888,3.546770864195218,0.007687739822459738,0.1901120605151138,0.05857248276091238,0.8502069813086964
50,mb_results_fixed_L100/mb_T300_N50_L100_langevin_vel.npy,701,300,35050,293.35866899438986,34.48586445719324,0.11755529357768098,0.11547005383792516,1.018058705876094,0.3949382161921066,0.39873961501279265,0.9533536868575427,0.1648863586278158,0.16827437493628888,2.0133881405031673,0.012669496876497655,0.12045837659564686,0.03753037902748112,0.851769349415048
100,mb_results_fixed_L100/mb_T300_N100_L100_langevin_vel.npy,701,300,70100,304.6529320210503,23.542385895596908,0.07727608508284511,0.08164965809277261,0.9464348888643462,0.4020502018250952,0.39873961501279265,0.8302628300918509,0.1690287467749523,0.16827437493628888,0.4482987020151086,0.007305892715535722,0.0838865459877837,0.023624262160202854,0.8388654598778369
200,my_simulation_300K_N200_L100_Langevin_vel.npy,701,300,140200,300.2497506879784,17.604507018832226,0.05863287805733085,0.05773502691896258,1.015551237892874,0.3990661385987477,0.39873961501279265,0.0818889254193,0.16796398339286775,0.16827437493628888,0.1844556210882693,0.002127991937848017,0.06050649733105164,0.018658560072034123,0.8556910913726471
