#E_pot  E_kin  T  P
-4.108076e-04 1.926136e+03 3.088812e+02 2.132283e+03
-4.383060e-04 1.892780e+03 3.035321e+02 2.095357e+03
-4.705384e-04 1.829371e+03 2.933637e+02 2.025162e+03
-5.263730e-04 1.794565e+03 2.877821e+02 1.986631e+03
-6.099271e-04 1.834771e+03 2.942297e+02 2.031140e+03
-7.030256e-04 1.884337e+03 3.021782e+02 2.086010e+03
-8.291099e-04 1.952141e+03 3.130515e+02 2.161071e+03
-9.988516e-04 1.960245e+03 3.143511e+02 2.170043e+03
-1.147218e-03 1.942002e+03 3.114255e+02 2.149846e+03
-1.198002e-03 1.886269e+03 3.024881e+02 2.088149e+03
-1.192275e-03 1.841995e+03 2.953880e+02 2.039136e+03
-1.224843e-03 1.888308e+03 3.028150e+02 2.090406e+03
-1.313489e-03 1.892661e+03 3.035130e+02 2.095225e+03
-1.420470e-03 1.909631e+03 3.062344e+02 2.114011e+03
-1.577007e-03 1.903232e+03 3.052083e+02 2.106928e+03
-1.748883e-03 1.950568e+03 3.127992e+02 2.159330e+03
-2.039896e-03 1.991757e+03 3.194045e+02 2.204927e+03
-2.581512e-03 1.957306e+03 3.138797e+02 2.166788e+03
-3.160529e-03 1.904963e+03 3.054859e+02 2.108844e+03
-3.613576e-03 1.861370e+03 2.984952e+02 2.060586e+03
-4.194983e-03 1.893235e+03 3.036050e+02 2.095860e+03
-5.057569e-03 1.875571e+03 3.007724e+02 2.076305e+03
-6.109172e-03 1.897591e+03 3.043037e+02 2.100683e+03
-7.324363e-03 1.949363e+03 3.126059e+02 2.157995e+03
-8.120154e-03 1.863009e+03 2.987579e+02 2.062399e+03
-8.657574e-03 1.835131e+03 2.942874e+02 2.031538e+03
-8.870291e-03 1.847525e+03 2.962749e+02 2.045258e+03
-8.263692e-03 1.794592e+03 2.877864e+02 1.986660e+03
-7.352312e-03 1.842859e+03 2.955267e+02 2.040093e+03
-6.949884e-03 1.870215e+03 2.999136e+02 2.070377e+03
-6.682538e-03 1.896685e+03 3.041584e+02 2.099680e+03
-5.886201e-03 1.957418e+03 3.138977e+02 2.166913e+03
-4.991496e-03 1.917536e+03 3.075020e+02 2.122762e+03
-4.305406e-03 1.957235e+03 3.138684e+02 2.166710e+03
-3.575786e-03 1.954541e+03 3.134363e+02 2.163727e+03
-3.029413e-03 1.926421e+03 3.089270e+02 2.132599e+03
-2.637045e-03 1.903782e+03 3.052964e+02 2.107536e+03
-2.324460e-03 1.913397e+03 3.068384e+02 2.118181e+03
-2.131058e-03 1.878312e+03 3.012120e+02 2.079340e+03
-1.944797e-03 1.897428e+03 3.042776e+02 2.100503e+03
-1.744536e-03 1.935399e+03 3.103667e+02 2.142537e+03
-1.678381e-03 1.876504e+03 3.009220e+02 2.077339e+03
