#E_pot  E_kin  T  P
-2.168415e-09 7.602657e+01 3.047965e+02 8.416339e+01
-2.172768e-09 7.063561e+01 2.831837e+02 7.819546e+01
-2.174800e-09 7.006269e+01 2.808868e+02 7.756123e+01
-2.182305e-09 8.623279e+01 3.457140e+02 9.546194e+01
-2.195387e-09 6.915258e+01 2.772381e+02 7.655370e+01
-2.209256e-09 6.190295e+01 2.481738e+02 6.852818e+01
-2.217246e-09 6.784326e+01 2.719890e+02 7.510426e+01
-2.217283e-09 6.512346e+01 2.610851e+02 7.209337e+01
-2.215796e-09 5.423829e+01 2.174456e+02 6.004320e+01
-2.216712e-09 5.282448e+01 2.117775e+02 5.847807e+01
-2.223425e-09 5.265378e+01 2.110931e+02 5.828911e+01
-2.237026e-09 4.811530e+01 1.928980e+02 5.326490e+01
-2.253572e-09 5.183554e+01 2.078127e+02 5.738329e+01
-2.268657e-09 5.651586e+01 2.265765e+02 6.256453e+01
-2.278206e-09 6.367436e+01 2.552755e+02 7.048917e+01
-2.280557e-09 7.272533e+01 2.915615e+02 8.050883e+01
-2.278216e-09 6.862179e+01 2.751102e+02 7.596611e+01
-2.273831e-09 5.828064e+01 2.336517e+02 6.451819e+01
-2.272428e-09 5.539905e+01 2.220991e+02 6.132819e+01
-2.271973e-09 5.965467e+01 2.391603e+02 6.603928e+01
-2.269436e-09 6.491596e+01 2.602532e+02 7.186366e+01
-2.267230e-09 6.911175e+01 2.770744e+02 7.650851e+01
-2.270053e-09 6.445473e+01 2.584041e+02 7.135306e+01
-2.275242e-09 6.123587e+01 2.454994e+02 6.778971e+01
-2.280468e-09 7.951278e+01 3.187730e+02 8.802272e+01
-2.290884e-09 1.093439e+02 4.383685e+02 1.210466e+02
-2.296919e-09 1.026520e+02 4.115400e+02 1.136385e+02
-2.295963e-09 1.021823e+02 4.096568e+02 1.131185e+02
-2.294039e-09 1.024962e+02 4.109153e+02 1.134660e+02
-2.286809e-09 9.224106e+01 3.698017e+02 1.021133e+02
-2.271976e-09 1.001981e+02 4.017020e+02 1.109219e+02
-2.258191e-09 8.877931e+01 3.559232e+02 9.828100e+01
-2.249395e-09 9.082546e+01 3.641264e+02 1.005461e+02
-2.242030e-09 8.422646e+01 3.376705e+02 9.324089e+01
-2.235690e-09 7.793044e+01 3.124293e+02 8.627103e+01
-2.232457e-09 7.246181e+01 2.905051e+02 8.021711e+01
-2.227520e-09 8.509289e+01 3.411441e+02 9.420005e+01
-2.218785e-09 7.580140e+01 3.038938e+02 8.391413e+01
-2.214254e-09 1.023690e+02 4.104055e+02 1.133252e+02
-2.213907e-09 1.049688e+02 4.208282e+02 1.162032e+02
-2.212496e-09 9.362731e+01 3.753592e+02 1.036479e+02
-2.207402e-09 1.096606e+02 4.396380e+02 1.213971e+02
-2.200235e-09 1.168892e+02 4.686178e+02 1.293993e+02
-2.196955e-09 1.029322e+02 4.126633e+02 1.139486e+02
-2.197279e-09 1.026306e+02 4.114540e+02 1.136147e+02
-2.192832e-09 9.411238e+01 3.773039e+02 1.041849e+02
-2.186286e-09 7.874968e+01 3.157137e+02 8.717795e+01
-2.183812e-09 9.445424e+01 3.786745e+02 1.045633e+02
-2.183199e-09 9.195640e+01 3.686604e+02 1.017981e+02
-2.181609e-09 7.725079e+01 3.097045e+02 8.551864e+01
-2.182751e-09 6.323279e+01 2.535052e+02 7.000035e+01
