#E_pot  E_kin  T  P
-2.936986e-06 3.580725e+02 2.871081e+02 3.963955e+02
-2.847278e-06 3.420471e+02 2.742587e+02 3.786550e+02
-2.762444e-06 3.474079e+02 2.785571e+02 3.845896e+02
-2.683775e-06 3.394997e+02 2.722162e+02 3.758350e+02
-2.594997e-06 3.476512e+02 2.787522e+02 3.848589e+02
-2.518313e-06 3.539523e+02 2.838045e+02 3.918344e+02
-2.461580e-06 3.638946e+02 2.917764e+02 4.028407e+02
-2.419037e-06 3.315515e+02 2.658432e+02 3.670361e+02
-2.355062e-06 3.538869e+02 2.837521e+02 3.917620e+02
-2.263112e-06 3.692678e+02 2.960847e+02 4.087891e+02
-2.176450e-06 3.431624e+02 2.751530e+02 3.798897e+02
-2.099036e-06 3.120786e+02 2.502295e+02 3.454792e+02
-2.009393e-06 3.576309e+02 2.867540e+02 3.959067e+02
-1.912292e-06 3.539485e+02 2.838015e+02 3.918302e+02
-1.823755e-06 3.818876e+02 3.062035e+02 4.227595e+02
-1.749665e-06 3.722970e+02 2.985136e+02 4.121425e+02
-1.685588e-06 3.825685e+02 3.067494e+02 4.235133e+02
-1.633577e-06 3.871079e+02 3.103892e+02 4.285385e+02
-1.591727e-06 3.811407e+02 3.056046e+02 4.219327e+02
-1.547939e-06 3.517097e+02 2.820063e+02 3.893517e+02
-1.505693e-06 3.670493e+02 2.943059e+02 4.063331e+02
-1.472960e-06 3.444101e+02 2.761535e+02 3.812710e+02
-1.445524e-06 3.435379e+02 2.754541e+02 3.803054e+02
-1.417072e-06 3.383955e+02 2.713308e+02 3.746126e+02
-1.391497e-06 3.382300e+02 2.711981e+02 3.744294e+02
-1.364115e-06 3.285929e+02 2.634709e+02 3.637609e+02
-1.333891e-06 3.222010e+02 2.583459e+02 3.566849e+02
-1.306255e-06 3.503901e+02 2.809483e+02 3.878910e+02
-1.284858e-06 3.552689e+02 2.848602e+02 3.932920e+02
-1.268055e-06 3.641547e+02 2.919850e+02 4.031288e+02
-1.257460e-06 3.550919e+02 2.847182e+02 3.930960e+02
-1.254139e-06 3.395353e+02 2.722448e+02 3.758745e+02
-1.248634e-06 3.714959e+02 2.978712e+02 4.112556e+02
-1.242244e-06 3.807759e+02 3.053121e+02 4.215289e+02
-1.235256e-06 3.678318e+02 2.949333e+02 4.071993e+02
-1.223524e-06 3.829123e+02 3.070251e+02 4.238939e+02
-1.210722e-06 3.903527e+02 3.129909e+02 4.321306e+02
-1.199004e-06 3.935044e+02 3.155180e+02 4.356196e+02
-1.186684e-06 3.984055e+02 3.194477e+02 4.410452e+02
-1.174144e-06 3.635994e+02 2.915397e+02 4.025140e+02
-1.161337e-06 3.809796e+02 3.054754e+02 4.217544e+02
-1.147274e-06 4.003152e+02 3.209790e+02 4.431594e+02
-1.125648e-06 4.414566e+02 3.539668e+02 4.887039e+02
-1.102585e-06 4.300651e+02 3.448330e+02 4.760933e+02
-1.085269e-06 3.967616e+02 3.181297e+02 4.392255e+02
-1.069983e-06 3.985843e+02 3.195912e+02 4.412432e+02
-1.055176e-06 3.796854e+02 3.044377e+02 4.203216e+02
-1.040772e-06 3.753506e+02 3.009620e+02 4.155229e+02
-1.030910e-06 3.571666e+02 2.863818e+02 3.953927e+02
-1.025798e-06 3.674192e+02 2.946025e+02 4.067426e+02
-1.021375e-06 3.667941e+02 2.941013e+02 4.060506e+02
-1.019875e-06 3.783616e+02 3.033762e+02 4.188561e+02
-1.021501e-06 3.902509e+02 3.129093e+02 4.320180e+02
-1.019242e-06 3.858736e+02 3.093995e+02 4.271721e+02
-1.011778e-06 3.935621e+02 3.155642e+02 4.356835e+02
-1.001614e-06 4.070142e+02 3.263504e+02 4.505753e+02
-9.890976e-07 3.868527e+02 3.101845e+02 4.282560e+02
-9.774416e-07 4.218330e+02 3.382323e+02 4.669801e+02
-9.668107e-07 4.432553e+02 3.554091e+02 4.906952e+02
-9.570952e-07 4.205249e+02 3.371835e+02 4.655321e+02
-9.490202e-07 3.509626e+02 2.814074e+02 3.885248e+02
-9.425085e-07 3.829353e+02 3.070435e+02 4.239193e+02
