distribution,n_samples,md_mean_nm_ps,theory_mean_nm_ps,absolute_mean_error_nm_ps,md_std_nm_ps,theory_std_nm_ps,std_relative_error_percent,ks_D
vx,140200,0.00023716131468318622,0.0,0.00023716131468318622,0.24988568875182496,0.24987299830163642,0.005078760120057309,0.002100560279241659
vy,140200,0.0016957047475785968,0.0,0.0016957047475785968,0.2487458956120913,0.24987299830163642,0.4510702225554368,0.004749924635933156
vz,140200,-0.004289341472955396,0.0,0.004289341472955396,0.2512530802127382,0.24987299830163642,0.5523133433712499,0.008947457835990102
speed,140200,0.3990661385987477,0.39873961501279265,0.0003265235859550297,0.16796398339286775,0.16827437493628888,0.1844556210882693,0.002127991937848017
