method,input_file,frames_used,samples_used,temperature_mean_K,temperature_relative_error,temperature_std_K,temperature_relative_std,temperature_relative_variance,canonical_relative_variance_2_over_3N,fluctuation_ratio_Qvar,speed_mean_nm_ps,speed_std_nm_ps,speed_KS_target_pooled,speed_KS_measuredT_pooled,speed_KS_target_frame_mean,speed_KS_target_frame_std
langevin,mb_results/mb_T300_N200_langevin_vel.npy,701,140200,300.1842398992588,0.0006141329975292819,16.25631744045092,0.0541544667565043,0.002932706269681329,0.0033333333333333335,0.8798118809043987,0.39910864149628333,0.16774108557230039,0.0030343819261502425,0.002832477523797172,0.060200922713916145,0.017885101133952766
andersen,mb_results/mb_T300_N200_andersen_vel.npy,701,140200,301.5979442347576,0.005326480782525398,18.66358223161961,0.061882325753163166,0.003829422240620601,0.0033333333333333335,1.1488266721861802,0.40019459777947997,0.16778477655054164,0.008209847460048048,0.005828249135418351,0.0613284236458173,0.018884101689590916
berendsen,mb_results/mb_T300_N200_berendsen_vel.npy,701,140200,300.0000294808894,9.826963131824111e-08,0.0009257020034503197,3.0856730416064467e-06,9.52137811969678e-12,0.0033333333333333335,2.8564134359090336e-09,0.4016238085094976,0.16127016522843474,0.053887818323575726,0.05388779355921183,0.05389211199480934,7.185098165075018e-07
nve,mb_results/mb_T300_N200_nve_vel.npy,701,140200,304.54492830702856,0.01514976102342852,0.0006745865470566338,2.215064131281628e-06,4.9065091056904325e-12,0.0033333333333333335,1.4719527317071296e-09,0.4058333588870038,0.1595202401422424,0.04752344287904009,0.042522795665321744,0.0475234743479222,1.0947349985952544e-08
