#E_pot  E_kin  T  P
-8.744088e-05 7.973196e+02 3.196517e+02 8.826536e+02
-8.844965e-05 7.605529e+02 3.049116e+02 8.419519e+02
-8.769454e-05 7.818843e+02 3.134636e+02 8.655663e+02
-8.625480e-05 8.163710e+02 3.272895e+02 9.037440e+02
-8.489195e-05 8.270262e+02 3.315613e+02 9.155395e+02
-8.272227e-05 7.760457e+02 3.111228e+02 8.591028e+02
-7.973427e-05 7.616781e+02 3.053627e+02 8.431975e+02
-7.589166e-05 7.935530e+02 3.181416e+02 8.784839e+02
-7.218690e-05 7.903366e+02 3.168521e+02 8.749232e+02
-6.885284e-05 7.286699e+02 2.921295e+02 8.066566e+02
-6.620400e-05 7.190237e+02 2.882623e+02 7.959780e+02
-6.437521e-05 7.300654e+02 2.926889e+02 8.082014e+02
-6.308547e-05 7.173470e+02 2.875900e+02 7.941218e+02
-6.272314e-05 7.228595e+02 2.898001e+02 8.002243e+02
-6.316516e-05 7.048616e+02 2.825846e+02 7.803002e+02
-6.431787e-05 7.035154e+02 2.820448e+02 7.788099e+02
-6.580040e-05 7.012367e+02 2.811313e+02 7.762873e+02
-6.742020e-05 7.354008e+02 2.948280e+02 8.141079e+02
-6.932359e-05 7.447148e+02 2.985620e+02 8.244187e+02
-7.154099e-05 7.695452e+02 3.085167e+02 8.519066e+02
-7.611949e-05 7.916698e+02 3.173866e+02 8.763991e+02
-8.393146e-05 7.893535e+02 3.164580e+02 8.738348e+02
-9.200895e-05 7.679517e+02 3.078779e+02 8.501425e+02
-9.940979e-05 7.890285e+02 3.163277e+02 8.734751e+02
-1.055098e-04 7.725153e+02 3.097074e+02 8.551945e+02
-1.087564e-04 7.768504e+02 3.114454e+02 8.599936e+02
-1.075571e-04 7.697708e+02 3.086072e+02 8.521564e+02
-1.062719e-04 7.865182e+02 3.153213e+02 8.706962e+02
-1.071419e-04 8.217475e+02 3.294450e+02 9.096959e+02
-1.090228e-04 8.079247e+02 3.239033e+02 8.943937e+02
-1.130564e-04 8.125336e+02 3.257511e+02 8.994959e+02
-1.190467e-04 8.442477e+02 3.384655e+02 9.346042e+02
-1.250801e-04 8.215013e+02 3.293463e+02 9.094233e+02
-1.274516e-04 7.792553e+02 3.124096e+02 8.626560e+02
-1.285251e-04 7.653051e+02 3.068168e+02 8.472126e+02
-1.272541e-04 7.776875e+02 3.117810e+02 8.609203e+02
-1.215446e-04 7.551769e+02 3.027563e+02 8.360004e+02
-1.151042e-04 7.108798e+02 2.849973e+02 7.869625e+02
-1.101086e-04 7.674006e+02 3.076569e+02 8.495325e+02
-1.055043e-04 7.568711e+02 3.034356e+02 8.378761e+02
-1.042721e-04 7.553469e+02 3.028245e+02 8.361887e+02
-1.120197e-04 7.558378e+02 3.030213e+02 8.367322e+02
-1.259447e-04 7.768186e+02 3.114327e+02 8.599584e+02
-1.386426e-04 7.906228e+02 3.169669e+02 8.752400e+02
-1.498502e-04 7.371170e+02 2.955160e+02 8.160077e+02
-1.589578e-04 7.610516e+02 3.051116e+02 8.425039e+02
-1.659220e-04 8.125717e+02 3.257664e+02 8.995381e+02
-1.778829e-04 8.014419e+02 3.213043e+02 8.872170e+02
-1.927593e-04 7.857907e+02 3.150297e+02 8.698908e+02
-2.101467e-04 7.769231e+02 3.114746e+02 8.600742e+02
-2.261054e-04 7.519474e+02 3.014616e+02 8.324253e+02
-2.346460e-04 7.403771e+02 2.968230e+02 8.196167e+02
-2.457715e-04 7.244012e+02 2.904181e+02 8.019310e+02
-2.614859e-04 7.206687e+02 2.889217e+02 7.977990e+02
-2.739209e-04 6.968279e+02 2.793638e+02 7.714066e+02
-2.761469e-04 6.765412e+02 2.712307e+02 7.489488e+02
-2.692760e-04 7.159450e+02 2.870280e+02 7.925698e+02
-2.715583e-04 7.694815e+02 3.084912e+02 8.518361e+02
-2.822172e-04 7.608593e+02 3.050345e+02 8.422910e+02
-2.851723e-04 7.524189e+02 3.016507e+02 8.329473e+02
-2.939428e-04 7.319248e+02 2.934344e+02 8.102598e+02
-3.015821e-04 7.315191e+02 2.932717e+02 8.098107e+02
-2.994189e-04 7.076069e+02 2.836852e+02 7.833393e+02
-3.036656e-04 6.933266e+02 2.779601e+02 7.675306e+02
-3.106363e-04 7.006281e+02 2.808873e+02 7.756136e+02
-3.298880e-04 6.990269e+02 2.802454e+02 7.738409e+02
-3.660209e-04 7.083314e+02 2.839756e+02 7.841413e+02
-4.087671e-04 6.886697e+02 2.760931e+02 7.623753e+02
-4.640510e-04 6.828013e+02 2.737404e+02 7.558788e+02
-5.133176e-04 6.619746e+02 2.653908e+02 7.328232e+02
-5.522316e-04 7.114866e+02 2.852406e+02 7.876342e+02
-5.735645e-04 6.956503e+02 2.788917e+02 7.701030e+02
-5.691876e-04 7.082460e+02 2.839414e+02 7.840468e+02
-5.704802e-04 7.125874e+02 2.856819e+02 7.888528e+02
-5.871436e-04 6.933207e+02 2.779577e+02 7.675240e+02
