#E_pot  E_kin  T  P
-1.044693e-04 7.530867e+02 3.019184e+02 8.336866e+02
-1.039977e-04 7.095104e+02 2.844483e+02 7.854465e+02
-1.042209e-04 7.167183e+02 2.873380e+02 7.934258e+02
-1.053958e-04 6.869443e+02 2.754014e+02 7.604653e+02
-1.067347e-04 6.734243e+02 2.699811e+02 7.454982e+02
-1.081050e-04 6.765618e+02 2.712389e+02 7.489715e+02
-1.110543e-04 7.517846e+02 3.013963e+02 8.322451e+02
-1.140479e-04 7.573401e+02 3.036236e+02 8.383952e+02
-1.147068e-04 7.305623e+02 2.928882e+02 8.087515e+02
-1.136075e-04 6.727994e+02 2.697306e+02 7.448065e+02
-1.108289e-04 7.168635e+02 2.873962e+02 7.935865e+02
-1.073287e-04 6.991912e+02 2.803112e+02 7.740228e+02
-1.029744e-04 7.168712e+02 2.873993e+02 7.935951e+02
-9.774950e-05 7.145126e+02 2.864537e+02 7.909841e+02
-9.442338e-05 7.191953e+02 2.883310e+02 7.961679e+02
-9.347290e-05 7.564182e+02 3.032540e+02 8.373746e+02
-9.394709e-05 7.635458e+02 3.061115e+02 8.452651e+02
-9.579224e-05 7.515872e+02 3.013172e+02 8.320266e+02
-9.821442e-05 7.499807e+02 3.006731e+02 8.302481e+02
-1.009864e-04 7.810156e+02 3.131153e+02 8.646046e+02
-1.055821e-04 7.489241e+02 3.002496e+02 8.290785e+02
-1.141591e-04 7.583895e+02 3.040443e+02 8.395569e+02
-1.269114e-04 7.552950e+02 3.028037e+02 8.361313e+02
-1.500300e-04 7.758090e+02 3.110279e+02 8.588407e+02
-1.953979e-04 7.803713e+02 3.128570e+02 8.638913e+02
-2.669073e-04 7.749097e+02 3.106674e+02 8.578452e+02
-3.783639e-04 7.953958e+02 3.188804e+02 8.805238e+02
-5.467025e-04 7.947186e+02 3.186089e+02 8.797742e+02
-7.682842e-04 7.864294e+02 3.152857e+02 8.705979e+02
-1.075808e-03 7.855030e+02 3.149143e+02 8.695722e+02
-1.454264e-03 7.661191e+02 3.071432e+02 8.481138e+02
-1.890201e-03 7.400710e+02 2.967003e+02 8.192778e+02
-2.513264e-03 7.487369e+02 3.001745e+02 8.288713e+02
-3.223799e-03 7.141279e+02 2.862995e+02 7.905581e+02
-4.132619e-03 6.756388e+02 2.708689e+02 7.479497e+02
-5.319373e-03 6.564673e+02 2.631829e+02 7.267264e+02
-5.890335e-03 6.561648e+02 2.630616e+02 7.263916e+02
-5.550417e-03 6.891266e+02 2.762763e+02 7.628811e+02
-4.753960e-03 6.766412e+02 2.712708e+02 7.490594e+02
-3.884872e-03 6.777927e+02 2.717324e+02 7.503341e+02
-2.912035e-03 6.753144e+02 2.707389e+02 7.475906e+02
-2.221761e-03 7.085612e+02 2.840678e+02 7.843957e+02
-1.909794e-03 7.370737e+02 2.954986e+02 8.159598e+02
-1.858039e-03 7.345655e+02 2.944931e+02 8.131832e+02
-2.018322e-03 7.102300e+02 2.847368e+02 7.862431e+02
-2.124846e-03 6.893577e+02 2.763689e+02 7.631369e+02
-2.072144e-03 7.408480e+02 2.970118e+02 8.201380e+02
-1.796248e-03 7.633289e+02 3.060245e+02 8.450250e+02
-1.526860e-03 7.626187e+02 3.057398e+02 8.442388e+02
-1.469833e-03 7.474272e+02 2.996494e+02 8.274214e+02
-1.468749e-03 7.336312e+02 2.941185e+02 8.121489e+02
-1.443536e-03 7.182654e+02 2.879582e+02 7.951385e+02
-1.480070e-03 6.879678e+02 2.758117e+02 7.615983e+02
-1.601163e-03 7.129485e+02 2.858267e+02 7.892526e+02
-1.735059e-03 7.305254e+02 2.928734e+02 8.087106e+02
-1.979511e-03 7.505026e+02 3.008824e+02 8.308259e+02
-2.320159e-03 7.407069e+02 2.969552e+02 8.199819e+02
-2.815743e-03 7.063961e+02 2.831997e+02 7.819988e+02
-3.675764e-03 7.273067e+02 2.915830e+02 8.051474e+02
-4.575620e-03 7.120651e+02 2.854725e+02 7.882746e+02
-5.258017e-03 7.225350e+02 2.896699e+02 7.998650e+02
-6.201617e-03 7.163411e+02 2.871868e+02 7.930083e+02
-7.860689e-03 7.294137e+02 2.924277e+02 8.074800e+02
-1.037435e-02 7.190604e+02 2.882769e+02 7.960186e+02
-1.447733e-02 7.299882e+02 2.926580e+02 8.081160e+02
-1.943516e-02 7.720472e+02 3.095198e+02 8.546764e+02
-2.394997e-02 7.636152e+02 3.061393e+02 8.453419e+02
-2.674038e-02 7.413722e+02 2.972219e+02 8.207183e+02
-2.702239e-02 7.373085e+02 2.955928e+02 8.162197e+02
-2.462350e-02 7.450268e+02 2.986871e+02 8.247640e+02
-2.016108e-02 6.979478e+02 2.798128e+02 7.726464e+02
-1.611732e-02 7.016621e+02 2.813019e+02 7.767583e+02
-1.410846e-02 7.039230e+02 2.822083e+02 7.792611e+02
-1.389677e-02 6.924692e+02 2.776163e+02 7.665814e+02
